Number,CLDR,Emoji,Name,Dict - Meaning,Dict - Where Does It Come From?,Dict - Who Uses It?,Image,Url
1,pile-of-poo-emoji,💩, Pile of Poo emoji,"The pile of poo emoji is used in a variety of contexts. A common usage is replacing the expletive shit (or crap), in both the literal and figurative senses. It can also be used to express passive aggression. The poo emoji has become one of the most popular emoji that it’s even warranted its own merchandise—because who doesn’t want to sleep on a fluffy pile of poo?","The pile of poo emoji is also called the poop emoji, dog dirt, or smiling poo. On more rare occasions, it’s interpreted as a chocolate ice cream or chocolate chip emoji by people who are either clued into the fact that the swirl of the pile of poo emoji is the exact same as the swirl of the ice cream emoji, or by people who simply don’t realize that this emoji has the word poo in its official Unicode name. Pile of poo was included as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. The pile of poo emoji was very popular in Japan before it became international. Its original connotation was whimsical, rather than insulting or vulgar, and it referenced a child’s television program. As Takeshi Kishimoto, a Google product manager who worked on the original implementation explained to Fast Company, “It says ‘I don’t like that,’ but softly.” Android 💩 Some low-cost Android phones shipped with malware built in https://t.co/gKwVZYNHIm — Tomles (@Tomles) May 25, 2018  In 2008, before it’s official Unicode release, Google’s designers crafted a poop emoji that was faceless and had animated flies buzzing around it. Gmail originally fought the inclusion of this emoji citing its vulgar nature, but they were ultimately convinced to include it by emoji’s creators. Google added in the smiling face in 2014 (it had become an industry-wide standard by this point). There is now debate about whether to include a frowning poo emoji.","The poo emoji has many uses. It can replace the expletive shit in both literal and metaphorical senses. Because of the proliferation of the pile of poo emoji as a substitute for swearing, it has even garnered conversation on the appropriateness of the emoji and if it’s considered NSFW. 💩💩💩💩💩Holy Crap!#Dodgers💩💩💩💩💩https://t.co/lZvtfsZ4PD — Rodger (with a D) (@Noz4news) March 28, 2018  Still others use the pile of poo emoji not as a visual variant of shit but as an indication as to how the tone of a statement should be interpreted. This emotional modifier usually indicates a certain amount of anger, but also passive aggressiveness and annoyance, thanks to the cheerful, smiling face of this particular pile of poo. I just ate a load of Dreamies which were for the cats. The Assistant says I might be ill. 🤢🤮💩💩 Do you think I will be? pic.twitter.com/t3e2Y8PgCC — The Dog Monster (@DDogMonster) October 19, 2018  That said, the pile of poo emoji does not always carry a negative or passive aggressive tone. On Tumblr, the pile of poo emoji is popular as a hashtag on selfies. One user referred to their selfie as looking like a “polished turd,” indicating a combination of self-mockery and pride in their appearance, and they found this particular emoji satisfactorily expressed that sentiment.  ",https://s.w.org/images/core/emoji/13.0.1/svg/1f4a9.svg,https://www.dictionary.com/e/emoji/pile-of-poo-emoji/
2,sunflower-emoji,🌻, Sunflower emoji,"The Sunflower emoji 🌻 depicts a sunflower. It is commonly used to represent sunflowers, nature, and sunny weather. The Sunflower emoji 🌻 is also sometimes used in reference to the state of Kansas, which is known as the “Sunflower State” and whose state flower is the wild sunflower. In early 2022, there was a significant increase in use of the Sunflower emoji 🌻 on social media, specifically as a symbol of solidarity with the Ukrainian people during the 2022 Russian invasion of Ukraine, whose national flower is the sunflower. In this context, the Sunflower emoji 🌻 was often used alongside the Flag of Ukraine emoji 🇺🇦.","The Sunflower emoji 🌻 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a bright yellow sunflower with a stalk and two green leaves. Depending on the platform, the sunflower is either depicted realistically or is stylized. In 2022, the sunflower became a symbol of resistance among the Ukrainian people during the Russian invasion of Ukraine, whose national flower is the sunflower. Use of the Sunflower emoji 🌻 as a symbol of resistance and solidarity increased after a viral video showed a Ukrainian woman confronting Russian soldiers and telling them to fill their pockets with sunflower seeds so that sunflowers would grow after they were killed in battle. Many people on social media began to use the Sunflower emoji 🌻 and the Flag of Ukraine emoji 🇺🇦 in posts or after their username as a way to show support for Ukraine.","The Sunflower emoji 🌻 is often used to refer to sunflowers and natural beauty. the 🌱 has turned into a 🌻, nature is beautiful — lena (@tenderhvrry) August 25, 2021  i can hear the wind howling out there, poor sunflowers 🌻  :/ — ken (@kenGIFfey_jr) December 16, 2021  Sometimes, the Sunflower emoji 🌻 is used in reference to Kansas, which is known as “the Sunflower State” and whose state flower is the sunflower. Am I the only one to be truly grateful to be from Kansas? Like no matter where I go Kansas will always be home. 🌻🌾 — 𝐂𝐎𝐌𝐀𝐋𝐈𝐓𝐎 🇲🇽👨🏻‍🏭 (@TheBeanVic) February 21, 2019  During the 2022 Russian invasion of Ukraine, the Sunflower emoji 🌻 was commonly used on social media to show solidarity with Ukraine. I am going to apologize now for all my retweets on the war in Ukraine. My family live there. They are in peril and fighting for their homeland. This is where my heart is right now. — Zedmonton 🇨🇦 🇺🇦 🌻 (@IPCoachZ) February 27, 2022  President Zelenskyy of Ukraine gave a powerful passionate speech to the European Parliament today, so much so that that he received a standing ovation and the translator was heard choking up: ""Life will win over death. And light will win over darkness. Glory to Ukraine!"" 🌻🇺🇦 — Ricky Davila 🌻🇺🇦 (@TheRickyDavila) March 1, 2022 ",https://s.w.org/images/core/emoji/13.0.1/svg/1f33b.svg,https://www.dictionary.com/e/emoji/sunflower-emoji/
3,ophiuchus-emoji,⛎, Ophiuchus Emoji,"The Ophiuchus emoji ⛎ depicts the sign of Ophiuchus, a constellation and what some consider to be the 13th zodiac sign in astrology. Unlike the other zodiac signs, Ophiuchus is much more obscure. For this reason, the Ophiuchus emoji ⛎ is often used by people who have recently discovered the existence of Ophiuchus or consider it to be the 13th sign of the zodiac. Ophiuchus is also known as The Serpent Bearer. The word Ophiuchus comes through Latin from the Greek Ophioukhos, which is a combination of the noun ophis (“snake”) and the verb ekhein (“to hold”). The Ophiuchus emoji ⛎ usually depicts the symbol of Ophiuchus, which resembles a capital letter U with a squiggly line through it. This symbol is thought to represent two arms carrying a snake.","The Ophiuchus emoji ⛎ was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles the symbol of Ophiuchus (a glyph that depicts a U with a wavy line through it) colored white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Ophiuchus symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Ophiuchus symbol is instead on a blue circle. On Twitter, the Ophiuchus emoji ⛎ is often accompanied by the word Ophiuchus and usually an explanation of what the heck Ophiuchus is. Most casual followers of astrology are either unaware of Ophiuchus or don’t consider it to be an actual sign of the zodiac. The sun travels through the constellation of Ophiuchus from about November 30 until December 18, which means it would overlap with dates currently assigned to Sagittarius. Astrology fans who do consider Ophiuchus to be the 13th sign of the zodiac may consider people whose birthday falls within this time period to have Ophiuchus as their sign. Because Ophiuchus is also known as The Serpent Bearer, the Ophiuchus emoji ⛎ is sometimes used alongside the Snake emoji 🐍. If you’d like to know more about Ophiuchus, you can slither on over to our investigation of the origins of Ophiuchus.","The Ophiuchus emoji ⛎ is most likely to be used by followers of astrology. Even then, the emoji is often used to point out how obscure Ophiuchus is or to argue for or against its inclusion as part of the zodiac. why have i never heard of the ophiuchus ⛎ zodiac sign !!!!??????? — makwenna (@makwennaa) January 31, 2019  So apparently there’s a new sign. So from a Sagittarius now I’m a Ophiuchus ⛎? WHY ? And they are SNAKE BEARERs!!! — Mahisha 🌻 (@MarthiniMahisha) June 6, 2020  So… I just found out that my sign is ⛎ #Ophiuchus 🙄 I don’t know how I feel about this. 🤭 All my life I was a ♐️ Sagittarius — Desiree Lee (@DLeeInspires) May 18, 2020  So I’m an ophiuchus now 🧐 dunno how I feel about that 🙈 I keep seeing conflicting posts about it being introduced or not! What’s everyone’s thoughts? Has your star sign been changed? #Sagittarius or #Ophiuchus ? ♐️ ⛎ — ♔Ⱨ₳ⱠⱠłɆ♔ (@hallieishername) July 17, 2020 ",https://s.w.org/images/core/emoji/13.0.1/svg/26ce.svg,https://www.dictionary.com/e/emoji/ophiuchus-emoji/
4,taurus-emoji,♉, Taurus Emoji,"The Taurus emoji ♉  depicts the sign of Taurus, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Taurus, people whose zodiac sign is Taurus, and astrology in general. According to astrology, people who were born between April 20 and May 20 have Taurus as their sign. For this reason, you’re more likely to see the Taurus emoji ♉ used during this time as people celebrate their birthdays. Taurus is commonly known as The Bull (Taurus is Latin for “bull”). The Taurus emoji ♉ usually depicts the symbol of Taurus, a circle topped with horns used to represent the head of a bull.","The Taurus emoji ♉ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Taurus (a glyph that resembles the head of a bull) colored white imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Taurus symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Taurus symbol is instead on a reddish-orange circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Taurus emoji ♉. When the Taurus emoji ♉ is used, it is often accompanied by the word Taurus itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Taurus is commonly known as The Bull and so the Taurus emoji ♉ is frequently used alongside the Ox emoji 🐂.","The Taurus emoji ♉ is often used by fans of astrology. In particular, it is often used by people whose sign is Taurus to talk about themselves or by people of other signs whose compatible partner is a Taurus. Lol ain't a Taurus for nothing ♉ 🐂 — B 🧜🏾‍♀️ (@_Cardeee) May 14, 2021  Birthday in a month. May 9th #Taurus♉ — Erik Ortega (@erikuortega) April 10, 2020  Taurus characters attract me and most of my friends are taurus ♉ — Pearl (@Allaa____) May 18, 2021 ",https://s.w.org/images/core/emoji/13.0.1/svg/2649.svg,https://www.dictionary.com/e/emoji/taurus-emoji/
5,aries-emoji,♈, Aries Emoji,"The Aries emoji ♈ depicts the sign of Aries, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Aries, people whose zodiac sign is Aries, and astrology in general. According to astrology, people who were born between March 21 and April 19 have Aries as their sign. For this reason, you are more likely to see the Aries emoji ♈ used during this time as people celebrate their birthdays. Aries is commonly known as The Ram (Aries is Latin for “ram”), and the Aries emoji ♈ usually depicts the symbol of Aries, which resembles the horns of a ram.","The Aries emoji ♈ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Aries (a glyph that depicts the head of a ram) in white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Aries symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Aries symbol is instead on a red circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Aries emoji ♈. When the Aries emoji ♈ is used, it is often accompanied by the word Aries itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Aries is commonly known as The Ram and so the Aries emoji ♈ is frequently used alongside the Ram emoji 🐏.","The Aries emoji ♈ is often used by people with an interest in astrology. It is often used by people whose sign is Aries to talk about themselves or by people of other signs whose compatible partner is an Aries. I'm an Aries ♈ and I have different mood swings 😌 — 𝐟𝐞𝐞𝐛_𝐱𝐨𝐱𝐨🌙 (@phibalapynhun) September 10, 2020    Me: I'm not really that into astrology. Also me: Sorry I went from 0-100 so fast. I'm such an aries.  ♈🐏 — Ethan Craft (@othermancraft) March 13, 2021 ",https://s.w.org/images/core/emoji/13.0.1/svg/2648.svg,https://www.dictionary.com/e/emoji/aries-emoji/
6,pisces-emoji,♓, Pisces emoji,"The Pisces emoji ♓ depicts the sign of Pisces, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Pisces, people whose zodiac sign is Pisces, and astrology in general. According to astrology, people who were born between February 19 and March 20 have Pisces as their sign. For this reason, you’re more likely to see the Pisces emoji ♓ used during this time as people celebrate their birthdays. Pisces is commonly known as The Fishes. The word Pisces comes from the Latin piscēs, the plural of the Latin word for fish (piscis). The Pisces emoji ♓ usually depicts the symbol of Pisces, two curved vertical lines with a straight horizontal line intersecting them. This symbol is said to represent two fish swimming in opposite directions tied together by a rope.","The Pisces emoji ♓ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Pisces (a glyph that represents fish tied by a rope) colored white imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Pisces symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Pisces symbol is instead on a pink circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Pisces emoji ♓. When the Pisces emoji ♓ is used, it is often accompanied by the word Pisces itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Pisces is commonly known as The Fishes and so it is often used alongside the Fish emoji 🐟.","The Pisces emoji ♓ is most often used by fans of astrology. It is especially likely to be used by people whose sign is Pisces or by astrology buffs who are talking about others whose sign is Pisces. Time to be over emotional, over empathetic, over compassionate, and create unrealistic scenarios in the head coz it's OFFICIALLY PISCES SZN ♓♓ — Adnan (@Adnanana_batman) February 19, 2021  “Most think #Pisces are too dreamy. Well us #Pisces like to think we can make our dreams a reality ♓ #PISCESAREUS” — أماني عبدالرحمن العجلان (@AmaniAAJ) June 27, 2011  'Tis Pisces season, welcome to my home ♓ — Andrea Gutierrez (@AndreaGtrrz) February 19, 2021 ",https://s.w.org/images/core/emoji/13.0.1/svg/2653.svg,https://www.dictionary.com/e/emoji/pisces-emoji/
7,fish-emoji,🐟, Fish emoji,"The Fish emoji 🐟 depicts a blue fish. It is commonly used to represent all varieties of fish, both literally and figuratively. The Fish emoji 🐟 is commonly used when discussing fish as food, pets, or marine wildlife. The Fish emoji 🐟 is frequently used to refer to all kinds of aquatic wildlife in addition to types of fish. The emoji is also often used in fish-based idioms and figures of speech. The Fish emoji 🐟 is often used alongside the Pisces emoji ♓ to refer to the zodiac sign of Pisces, which is known as “the Fishes” and is often represented by fish or a fish.","The Fish emoji 🐟 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a blue or blue and white fish facing toward the left. Depending on the platform, the fish may be depicted realistically or be stylized. The exact color, number of fins, and possible species of the fish vary by platform. The Fish emoji 🐟 is a commonly used emoji to refer to literal and figurative fish. The emoji is used to discuss seafood, fish kept as pets, fish raised in captivity, wild fish, and the sport of fishing. Besides fish, the Fish emoji 🐟 is often used to refer to other aquatic wildlife such as whales, jellyfish, and the cast of Spongebob Squarepants. At the same time, the Fish emoji 🐟 is often used alongside fish-based figures of speech, fish puns, or wordplay involving fish. The Fish emoji 🐟 is often used with or in place of the Pisces emoji ♓ to refer to the sign of Pisces. Typically, people born between February 19 and March 20 are said to have Pisces as their zodiac sign. Because of this, the Fish emoji 🐟 is often used during this time by fans of astrology to wish Pisces a happy birthday.","The Fish emoji 🐟 is used to talk about fish in a wide range of situations. I wanna go to the aquarium 🥺🐠🐟🐡 — His Striked Mitche🤝💙 (@its_just_j0rdan) March 13, 2021  Fried fish for dinner always smacks 🐟🌊💯 — JD MAGO (@XCRUTCHX) May 13, 2020  Give a man a fish and you will feed him for a day. Teach a man to fish and you will feed him for a lifetime 🐟 🐟 🐟 — Bennejemyassine (@bennejemyassine) April 25, 2020  The Fish emoji 🐟 is also used to refer to the zodiac sign Pisces. “you fish for compliments” i’m a PISCES FISHING IS LITERALLY MY ZODIAC SIGN 🐟‼️✋🏼 — coffee (@ghstcoffee) April 11, 2021  Just me being a Pisces during Pisces season 🐟 ♓️ — aristihouse 🦉 (@aristiowl) February 27, 2021 ",https://s.w.org/images/core/emoji/13.0.1/svg/1f41f.svg,https://www.dictionary.com/e/emoji/fish-emoji/
8,heart-with-arrow-emoji,💘, Heart With Arrow emoji,"The Heart with Arrow emoji 💘 depicts a heart with an arrow shot through it. It is commonly used to represent relationships, romance, and to express love for people and things. Alongside the many other heart emoji, the Heart with Arrow emoji 💘 is typically used to celebrate Valentine’s Day.","The Heart with Arrow emoji 💘 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a stylized pink or red heart with a feathered arrow piercing it at an angle. On most major platforms, the tip of the arrow is pointed upward toward the left. On WhatsApp, the tip of the arrow is instead pointed downward toward the left. The color of the heart and arrow vary by platform.","Like many other heart emoji, the Heart with Arrow emoji 💘 is used generally to express love for someone or something. I LOVE my alone time 💘 — Salice Rose (@salice_roseee) January 17, 2022  my niece is so precious, looks just like her daddy, I love her sm💘 — 𝒕𝒚𝒍𝒊𝒆 𝒍𝒚𝒏𝒏 (@tyliedelorme) January 24, 2022  The Heart with Arrow emoji 💘 is used with other romantic emoji to celebrate Valentine’s Day. the valentine’s day aesthetic makes me happy 💓💗💖💘💝💞💕💓💗💖💘💝💞💕💓💗💖💘💝💞💕💓💗💖 — michi (@mcarchiiii) January 27, 2022  Valentine’s with the besties is gonna be so 💞💓💓💖💗💘 this year — ashh ^-^ (@luvrashh) January 27, 2022 ",https://s.w.org/images/core/emoji/13.0.1/svg/1f498.svg,https://www.dictionary.com/e/emoji/heart-with-arrow-emoji/
9,curling-stone-emoji,🥌, Curling Stone emoji,"The Curling Stone emoji 🥌 depicts a curling stone, which is used in the game of curling. It is most commonly used to refer to curling. The Curling Stone emoji 🥌 sees increased usage during the Winter Olympics, which includes curling events.","The Curling Stone emoji 🥌 was approved under Unicode 10.0 in 2017. On most major platforms, the emoji depicts a curling stone with a red handle pointing toward the right. The WhatsApp version instead has a blue handle. Depending on the platform, the curling stone may be depicted realistically or it may be stylized.","The Curling Stone emoji 🥌 is mostly used to refer to curling. I miss watching curling during the Winter Olympics while sitting on a tour bus driving to a new city to see new faces. 🥌 — Sebastian Danzig Fever Dream (@SebastianDanzig) January 21, 2021  Backyard curling rink is almost ready to go 🥌. #curling #getoutside pic.twitter.com/Pl1Lq9sjUY — Andrew Mead (@andrewmead73) December 24, 2021  Goooood morning from Baxter Arena! Tonight the U.S. Olympic curling trials begin 🥌 pic.twitter.com/TbKoKFxLwQ — Alyssa Curtis (@AlyssaNCurtis) November 12, 2021 ",https://s.w.org/images/core/emoji/13.0.1/svg/1f94c.svg,https://www.dictionary.com/e/emoji/curling-stone-emoji/
10,tiger-face-emoji,🐯, Tiger Face emoji,"The Tiger Face emoji 🐯 depicts the face of a tiger with orange fur and black stripes. It is commonly used to discuss real, fictional, and metaphorical tigers. The emoji is also often used to refer to things named after tigers, such as sports teams. The Tiger Face emoji 🐯 may also be used to refer to the Year of the Tiger in the Chinese zodiac, especially if the current year or a person’s birth year is the Year of the Tiger. The usage of the Tiger Face emoji 🐯 overlaps heavily with the Tiger emoji 🐅, and the two may be used together.","The Tiger Face emoji 🐯 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles a stylized depiction of the head of a tiger with orange and white fur with black stripes facing toward the viewer. The Microsoft and WhatsApp versions of the emoji depict the tiger with whiskers. Tigers are popular animals that can be found in many of the world’s zoos and animal preserves and are often depicted in popular culture. For this reason, both the Tiger emoji 🐅 and the Tiger Face emoji 🐯 are used to talk about actual tigers, fictional tiger characters such Disney’s Tigger or Kellogg’s Tony the Tiger, or sports teams named after tigers, such as the Clemson Tigers or Cincinnati Bengals. Both of these emoji are also used to refer to the Year of the Tiger, one of the 12 years named for animals as part of the 12-year cycle that makes up the Chinese zodiac. The years 2022, 2010, 1998, and 1986 are some examples of years that would be considered to be Years of the Tiger according to the Chinese zodiac.","The Tiger Face emoji 🐯 is commonly used to talk about tigers or things named after tigers. I love tigers🐯💚 pic.twitter.com/sChoLKM5Bk — Isabelle📜✒ (@zazafontaine42) August 5, 2020  I put a tiger mask on my face and my mom started screaming when I met her in the hallway 🐯😂💀 — Julia (@call_me_spooky_) December 27, 2021  Thank you Clemson family for all the love this season🐯💜 #ALLIN — KJ Henry (@thekjhenry) January 14, 2020 ",https://s.w.org/images/core/emoji/13.0.1/svg/1f42f.svg,https://www.dictionary.com/e/emoji/tiger-face-emoji/
